Mode_of_Transport,Departure_Station,Arrival_Station,Departure_Time,Passenger_Count,Fare_Amount,Trip_Duration_Minutes,Trip_Date,Day_of_Week,Hour,time_of_day,Revenue,Route,Is_Weekend
FERRY,West End,airport,2024-01-01 06:00:00,21.0,4.343642066244451,26.0,2024-01-01,Monday,6,Morning,91.21648339113347,West End → airport,False
TRAM,North Station,Downtown,2024-01-01 06:01:00,46.0,20.67338003610532,134.0,2024-01-01,Monday,6,Morning,950.9754816608448,North Station → Downtown,False
BUS,Central,North Station,2024-01-01 06:02:00,91.0,25.403856477451566,97.5,2024-01-01,Monday,6,Morning,2311.7509394480926,Central → North Station,False
FERRY,Downtown,Central,2024-01-01 06:03:00,27.0,3.767487284941958,97.5,2024-01-01,Monday,6,Morning,101.72215669343286,Downtown → Central,False
FERRY,Downtown,Central,2024-01-01 06:04:00,66.0,25.403856477451566,97.5,2024-01-01,Monday,6,Morning,1676.6545275118033,Downtown → Central,False
FERRY,South Point,South Point,2024-01-01 06:05:00,41.0,5.994405890170085,50.0,2024-01-01,Monday,6,Morning,245.77064149697347,South Point → South Point,False
BUS,West End,West End,2024-01-01 06:06:00,13.0,40.5076428954565,100.0,2024-01-01,Monday,6,Morning,526.5993576409345,West End → West End,False
FERRY,Central,South Point,2024-01-01 06:07:00,9.0,25.403856477451566,14.0,2024-01-01,Monday,6,Morning,228.6347082970641,Central → South Point,False
TRAIN,West End,North Station,2024-01-01 06:08:00,36.0,4.079665525267961,172.0,2024-01-01,Monday,6,Morning,146.8679589096466,West End → North Station,False
FERRY, Central ,South Point,2024-01-01 06:09:00,86.0,47.77820276093922,132.0,2024-01-01,Monday,6,Morning,4108.925437440773, Central  → South Point,False
FERRY,South Point,Airport,2024-01-01 06:10:00,90.0,26.36754166716889,156.0,2024-01-01,Monday,6,Morning,2373.0787500452,South Point → Airport,False
FERRY,South Point,Central,2024-01-01 06:11:00,58.0,15.32850105871676,103.0,2024-01-01,Monday,6,Morning,889.0530614055721,South Point → Central,False
FERRY,Downtown,Central,2024-01-01 06:12:00,54.0,4.304672726170094,176.0,2024-01-01,Monday,6,Morning,232.45232721318507,Downtown → Central,False
BUS,West End,Downtown,2024-01-01 06:13:00,12.0,25.28090126948568,116.0,2024-01-01,Monday,6,Morning,303.3708152338281,West End → Downtown,False
TRAM,Airport,Downtown,2024-01-01 06:14:00,81.0,39.82851945229206,64.0,2024-01-01,Monday,6,Morning,3226.1100756356573,Airport → Downtown,False
FERRY,Downtown,North Station,2024-01-01 06:15:00,78.0,35.50078062470156,91.0,2024-01-01,Monday,6,Morning,2769.0608887267217,Downtown → North Station,False
TRAIN,West End,Airport,2024-01-01 06:16:00,14.0,2.986187567466701,149.0,2024-01-01,Monday,6,Morning,41.80662594453381,West End → Airport,False
BUS,Downtown,West End,2024-01-01 06:17:00,34.0,4.108640850711224,69.0,2024-01-01,Monday,6,Morning,139.69378892418163,Downtown → West End,False
TRAIN,Airport,South Point,2024-01-01 06:18:00,53.0,20.44222749031554,61.0,2024-01-01,Monday,6,Morning,1083.4380569867235,Airport → South Point,False
TRAM,North Station,North Station,2024-01-01 06:19:00,20.0,15.11687945537319,110.0,2024-01-01,Monday,6,Morning,302.3375891074638,North Station → North Station,False
TRAIN,North Station,Downtown,2024-01-01 06:20:00,75.0,12.00302399127437,13.0,2024-01-01,Monday,6,Morning,900.2267993455778,North Station → Downtown,False
TRAIN,North Station,South Point,2024-01-01 06:21:00,16.0,25.403856477451566,26.0,2024-01-01,Monday,6,Morning,406.46170363922505,North Station → South Point,False
FERRY,North Station,Downtown,2024-01-01 06:22:00,95.0,40.27239579319579,145.0,2024-01-01,Monday,6,Morning,3825.8776003536,North Station → Downtown,False
BUS,Central,South Point,2024-01-01 06:23:00,70.0,46.49678865477676,93.0,2024-01-01,Monday,6,Morning,3254.775205834373,Central → South Point,False
BUS,North Station,West End,2024-01-01 06:24:00,56.0,20.55258337911454,22.0,2024-01-02,Tuesday,6,Morning,1150.9446692304143,North Station → West End,False
BUS,Airport,North Station,2024-01-01 06:25:00,83.0,45.3524946055586,119.0,2024-01-02,Tuesday,6,Morning,3764.2570522613637,Airport → North Station,False
TRAM,South Point,South Point,2024-01-01 06:26:00,58.0,16.41403721177016,97.5,2024-01-02,Tuesday,6,Morning,952.0141582826693,South Point → South Point,False
TRAIN,South Point,Airport,2024-01-01 06:27:00,4.0,24.08363082401769,149.0,2024-01-02,Tuesday,6,Morning,96.33452329607076,South Point → Airport,False
TRAIN,Central,Central,2024-01-01 06:28:00,48.0,11.68843539189199,147.0,2024-01-02,Tuesday,6,Morning,561.0448988108155,Central → Central,False
